City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,coronel du graty,-27.6804,-60.9146,30.2,36,56,4.09,AR,1741064863
1,aginskoye,51.1,114.53,-4.18,70,42,3.03,RU,1741064864
2,caconda,-13.7333,15.0667,15.28,78,82,1.14,AO,1741064865
3,arteche,12.2645,125.4048,29.17,70,100,3.5,PH,1741064866
4,pacific grove,36.6177,-121.9166,10.37,88,99,1.79,US,1741064867
5,lang son,21.8333,106.7333,23.63,75,96,3.11,VN,1741064868
6,rongelap,11.1635,166.8941,26.91,80,0,8.31,MH,1741064869
7,orapa,-21.2833,25.3667,21.34,70,89,3.98,BW,1741064870
8,tome,-36.6167,-72.95,13.34,88,62,1.08,CL,1741064901
9,tezonapa,18.6092,-96.6917,20.1,77,0,0.45,MX,1741064902
10,nagqu,31.5,92.0,5.51,6,0,15.08,CN,1741064904
11,laramie,41.3114,-105.5911,1.21,69,100,6.17,US,1741064905
12,shetpe,44.1667,52.1167,-1.97,75,100,3.54,KZ,1741064906
13,sebastopol,44.6,33.5333,2.22,57,99,2.24,UA,1741064907
14,vanino,49.0869,140.2543,-7.78,54,18,3.19,RU,1741064908
15,marco island,25.9363,-81.7157,20.0,80,70,5.18,US,1741064909
16,sao joao da barra,-21.6403,-41.0511,24.5,83,7,3.65,BR,1741064910
17,san patricio,28.017,-97.5169,22.97,84,24,8.61,US,1741064911
18,rundu,-17.9333,19.7667,18.53,92,84,1.91,NA,1741064912
19,la passe,45.5549,-0.8967,7.78,78,93,3.1,FR,1741064913
20,sortavala,61.7053,30.6918,-0.29,86,58,3.68,RU,1741064914
21,kargasok,59.0556,80.8572,-5.42,93,95,2.42,RU,1741064915
22,al qusiyah,27.4402,30.8184,12.21,70,4,4.08,EG,1741064917
23,tsiombe,-25.3,45.4833,26.21,83,3,2.5,MG,1741064823
24,czluchow,53.6672,17.3588,2.0,93,60,5.07,PL,1741064919
25,hood river,45.7054,-121.5215,8.37,84,0,2.24,US,1741064920
26,freeport,40.6576,-73.5832,2.2,64,0,4.63,US,1741064921
27,moron,-34.6534,-58.6198,22.23,95,20,3.13,AR,1741064922
28,puerto leguizamo,-0.1934,-74.7819,22.8,98,100,0.36,CO,1741064923
29,wanning,18.8003,110.3967,28.19,65,12,6.36,CN,1741064924
30,kifri,34.6959,44.9661,12.43,34,100,2.72,IQ,1741064925
31,tamanrasset,22.785,5.5228,18.95,12,0,5.66,DZ,1741064926
32,kroya,-7.6331,109.2461,30.46,66,87,3.65,ID,1741064641
33,mombetsu,44.3525,143.3525,-5.99,93,75,2.57,JP,1741064928
34,dul'durga,50.6761,113.5931,-0.92,41,48,2.42,RU,1741064929
35,bissau,11.8636,-15.5977,22.43,47,66,4.59,GW,1741064931
36,kinchil,20.9167,-89.95,25.03,72,1,3.2,MX,1741064932
37,ukholovo,53.7929,40.4892,0.21,98,100,5.5,RU,1741064933
38,polyarnyy,69.1989,33.4478,-4.67,91,99,2.46,RU,1741064934
39,qui nhon,13.7667,109.2333,27.27,73,57,4.08,VN,1741064935
40,presidente olegario,-18.4178,-46.4181,17.05,79,52,2.39,BR,1741064906
41,mount isa,-20.7333,139.5,41.87,17,20,2.57,AU,1741064937
42,chardara,41.2547,67.9692,1.9,68,30,3.66,KZ,1741064938
43,camacupa,-12.0167,17.4833,15.61,95,100,0.46,AO,1741064939
44,merritt island,28.5392,-80.672,20.59,78,75,3.09,US,1741064940
45,mount gambier,-37.8333,140.7667,32.08,12,0,1.96,AU,1741064941
46,ust'-kut,56.7938,105.7672,-4.92,81,99,2.43,RU,1741064943
47,tralee,52.2704,-9.7026,2.33,93,3,2.75,IE,1741064944
48,puerto deseado,-47.7503,-65.8938,15.03,48,61,5.81,AR,1741064855
49,zeya,53.75,127.2667,-11.29,83,100,1.42,RU,1741064916
50,ljusdal,61.8288,16.0913,0.53,80,100,4.98,SE,1741064947
51,bridlington,54.0831,-0.1919,4.96,61,5,0.45,GB,1741064948
52,namdrik,5.5994,168.1028,27.92,76,48,8.32,MH,1741064949
53,nouadhibou,20.931,-17.0347,15.99,94,80,1.54,MR,1741064950
54,ursulo galvan,22.7333,-98.3,23.44,87,50,2.31,MX,1741064951
55,pocahontas,36.2615,-90.9712,14.47,58,75,6.17,US,1741064952
56,diego de almagro,-26.3667,-70.05,15.93,64,1,1.16,CL,1741064953
57,isangel,-19.55,169.2667,29.06,74,75,1.03,VU,1741064954
58,sirsilla,18.3833,78.8333,32.94,16,60,3.05,IN,1741064955
59,mata-utu,-13.2816,-176.1745,28.56,74,100,8.15,WF,1741064957
60,wailua homesteads,22.0669,-159.378,23.44,82,20,7.2,US,1741064958
61,bikenibeu village,1.3673,173.1241,28.98,79,20,4.12,KI,1741064959
62,queenstown,-31.8976,26.8753,20.59,64,18,2.04,ZA,1741064410
63,minab,27.1467,57.0801,20.74,12,0,5.09,IR,1741064931
64,gemenos,43.2975,5.6284,6.92,63,76,2.66,FR,1741064811
65,kardla,58.9978,22.7492,4.99,75,100,5.14,EE,1741064963
66,phu khuong,11.2833,106.1333,33.88,43,92,2.71,VN,1741064964
67,dehloran,32.6941,47.2679,15.39,22,100,2.16,IR,1741064965
68,newman,37.3138,-121.0208,10.59,74,85,2.43,US,1741064966
69,shippensburg,40.0507,-77.5203,0.19,73,12,1.86,US,1741064967
70,izluchinsk,60.9794,76.9242,-3.99,95,99,2.67,RU,1741064969
71,phimai,15.2232,102.4947,36.52,35,54,2.46,TH,1741064970
72,porto seguro,-16.4497,-39.0647,23.29,88,75,5.14,BR,1741064972
73,kidal,18.4411,1.4078,25.35,12,81,4.9,ML,1741064973
74,rikaze,29.25,88.8833,7.73,14,1,0.35,CN,1741064974
75,chizhou,30.6578,117.4831,3.94,90,100,1.94,CN,1741064713
76,ovalle,-30.5983,-71.2003,20.38,44,0,1.17,CL,1741064756
77,fort st. john,56.2499,-120.8529,-1.66,90,43,1.62,CA,1741064977
78,encheng,22.1839,112.3026,29.43,52,71,3.45,CN,1741064977
79,souillac,-20.5167,57.5167,27.21,89,40,6.17,MU,1741064979
